L1_orth,L1_L1wiktionary,L1_enwiktionary,L1_ipa,L1_en,L1_disambiguated,L1_suffix,L1_pos,L1_year,L1_macro_family,L1_family,L1_language,L1_region,L1_type,L1_loan,L1_certainty,L1_closest_wold_concept,L1_borrowability,L1_closest_wold_concept_similarity
kosztüm,https://hu.wiktionary.org/wiki/kosztüm#Magyar,https://en.wiktionary.org/wiki/kosztüm#Hungarian,kostym,"coat_and_skirt, costume, suit",0,-,n,1789,no_info,no_info,no_info,no_info,internationalism,+,certain,"('costume', 'dress')",0.467741935,0.750729799
köszvény,https://hu.wiktionary.org/wiki/köszvény#Magyar,https://en.wiktionary.org/wiki/köszvény#Hungarian,køsveːɲ,"arthritis, gout, joint_gout",0,-,n,1380,FU,no_info,no_info,no_info,no_info,-,uncertain,"('arthritis', 'cure')",0.186868687,0.701369226
köt,https://hu.wiktionary.org/wiki/köt#Magyar,https://en.wiktionary.org/wiki/köt#Hungarian,køt,"bind, bound, knit, knit, knit, lace, tie, work, wreathe",0,-,v,1200,FU,no_info,no_info,no_info,no_info,-,certain,"('work', 'work')",0.361974406,1
kötekedik,https://hu.wiktionary.org/wiki/kötekedik#Magyar,https://en.wiktionary.org/wiki/kötekedik#Hungarian,køtɛkɛdik,"banter, jape, ""pull_ones_leg"", taunt, tease",0,-,v,1742,no_info,no_info,no_info,no_info,derivative,-,certain,"('tease', 'laugh')",0.058139535,0.738468349
köteles,https://hu.wiktionary.org/wiki/köteles#Magyar,https://en.wiktionary.org/wiki/köteles#Hungarian,køtɛlɛʃ,liable,0,-,n,1456,no_info,no_info,no_info,no_info,derivative,-,certain,"('liable', 'plaintiff')",0.282258065,0.748095155
kötény,https://hu.wiktionary.org/wiki/kötény#Magyar,https://en.wiktionary.org/wiki/kötény#Hungarian,køteːɲ,"apron, dickey, dicky, pinafore",0,-,n,1673,no_info,no_info,no_info,no_info,derivative,-,certain,"('apron', 'skirt')",0.609797297,0.663063526
kötet,https://hu.wiktionary.org/wiki/kötet#Magyar,https://en.wiktionary.org/wiki/kötet#Hungarian,køtɛt,"tome, volume",0,-,n,1659,no_info,no_info,no_info,no_info,derivative,-,certain,"('volume', 'price')",0.431330472,0.708106458
kotkodácsol,https://hu.wiktionary.org/wiki/kotkodácsol#Magyar,https://en.wiktionary.org/wiki/kotkodácsol#Hungarian,kotkodaːt͡ʃol,cluck,0,-,n,1713,no_info,no_info,no_info,no_info,no_info,-,certain,"('cluck', 'mumble')",0.094594595,0.601305664
kotlik,https://hu.wiktionary.org/wiki/kotlik#Magyar,https://en.wiktionary.org/wiki/kotlik#Hungarian,kotlik,"brood, incubate",0,-,v,1590,no_info,no_info,no_info,no_info,no_info,-,certain,"('brood', 'wasp')",0.159695817,0.738023698
kotnyeles,https://hu.wiktionary.org/wiki/kotnyeles#Magyar,https://en.wiktionary.org/wiki/kotnyeles#Hungarian,kotɲɛlɛʃ,"meddler, meddlesome",0,-,a,1635,no_info,no_info,no_info,no_info,no_info,-,certain,"('meddlesome', 'stingy')",0.217391304,0.627336085
koton,https://hu.wiktionary.org/wiki/koton#Magyar,https://en.wiktionary.org/wiki/koton#Hungarian,koton,"durex, rubber, skin",0,-,n,1912,IE,Germanic,German,Bavaria,no_info,+,certain,"('skin', 'skin')",0.111524164,1
kotor,https://hu.wiktionary.org/wiki/kotor#Magyar,https://en.wiktionary.org/wiki/kotor#Hungarian,kotor,"drag, rabble, scoop",0,-,n,1518,no_info,no_info,no_info,no_info,derivative,-,certain,"('scoop', 'spoon')",0.400990099,0.752172232
kötözködik,https://hu.wiktionary.org/wiki/kötözködik#Magyar,https://en.wiktionary.org/wiki/kötözködik#Hungarian,køtøzkødik,heckler,0,-,v,1785,no_info,no_info,no_info,no_info,derivative,-,certain,"('heckler', 'fart')",0.035,0.435039222
kotta,https://hu.wiktionary.org/wiki/kotta#Magyar,https://en.wiktionary.org/wiki/kotta#Hungarian,kotːɒ,"music, sheet_music",0,-,n,1538,IE,Romance,Latin,no_info,general,+,certain,"('music', 'music')",0.580357143,0.999999881
kötvény,https://hu.wiktionary.org/wiki/kötvény#Magyar,https://en.wiktionary.org/wiki/kötvény#Hungarian,køtveːɲ,"bond, debenture-bond, obligation",0,-,n,1792,no_info,no_info,no_info,no_info,neologism,-,certain,"('bond', 'price')",0.431330472,0.762022316
kótyagos,https://hu.wiktionary.org/wiki/kótyagos#Magyar,https://en.wiktionary.org/wiki/kótyagos#Hungarian,koːcɒɡoʃ,"fey, hare-brained, have_bats_in_the_belfry, ""off_ones_crumpet"", pixy-led",0,-,a,1613,no_info,no_info,no_info,no_info,derivative,-,certain,"('fey', 'cheek')",0.071428571,0.462073088
kótyavetye,https://hu.wiktionary.org/wiki/kótyavetye#Magyar,https://en.wiktionary.org/wiki/kótyavetye#Hungarian,koːcɒvɛcɛ,"auction, exorbitant_price",0,-,n,1540,IE,Slavic,Croatian, Serbian,no_info,-,"+,","('auction', 'sell')",0.172631579,0.703288078
kotyog,https://hu.wiktionary.org/wiki/kotyog#Magyar,https://en.wiktionary.org/wiki/kotyog#Hungarian,kocoɡ,"blab, blab_out, blatter, cluck, ping, play, slap, work",0,-,v,1474,no_info,no_info,no_info,no_info,no_info,-,certain,"('play', 'play')",0.042682927,1
kotyvaszt,https://hu.wiktionary.org/wiki/kotyvaszt#Magyar,https://en.wiktionary.org/wiki/kotyvaszt#Hungarian,kocvɒst,"concoct, do_the_cooking",0,-,a,1784,no_info,no_info,no_info,no_info,derivative,-,certain,"('concoct', 'bait')",0.153488372,0.493397951
kova,https://hu.wiktionary.org/wiki/kova#Magyar,https://en.wiktionary.org/wiki/kova#Hungarian,kovɒ,flint,0,-,n,1533,no_info,no_info,no_info,no_info,no_info,-,certain,"('flint', 'pine')",0.414746544,0.576434791
kova,https://hu.wiktionary.org/wiki/kova#Magyar,https://en.wiktionary.org/wiki/kova#Hungarian,kovɒ,flint,0,-,n,1533,no_info,no_info,no_info,no_info,no_info,-,certain,"('flint', 'pine')",0.414746544,0.576434791
kovács,https://hu.wiktionary.org/wiki/kovács#Magyar,https://en.wiktionary.org/wiki/kovács#Hungarian,kovaːt͡ʃ,forger,0,-,n,1380,no_info,no_info,no_info,no_info,no_info,-,certain,"('forger', 'tailor')",0.294117647,0.473875523
kóvályog,https://hu.wiktionary.org/wiki/kóvályog#Magyar,https://en.wiktionary.org/wiki/kóvályog#Hungarian,koːvaːjoɡ,"swim, swam, swum",0,-,v,1577,no_info,no_info,no_info,no_info,derivative,-,certain,"('swim', 'swim')",0.103346457,1
kovász,https://hu.wiktionary.org/wiki/kovász#Magyar,https://en.wiktionary.org/wiki/kovász#Hungarian,kovaːs,"ferment, yeast",0,-,n,1395,no_info,no_info,no_info,no_info,no_info,-,certain,"('yeast', 'yolk')",0.030864198,0.638322771
kövér,https://hu.wiktionary.org/wiki/kövér#Magyar,https://en.wiktionary.org/wiki/kövér#Hungarian,køveːr,"be_in_flesh, beefy, corpulent, dumpy, fat, full, gross, large, overweight, plump, podgy, pudgy, puffy",0,-,a,1395,no_info,no_info,no_info,no_info,no_info,-,certain,"('fat', 'fat')",0.180434783,1
követ,https://hu.wiktionary.org/wiki/követ#Magyar,https://en.wiktionary.org/wiki/követ#Hungarian,køvɛt,"deputy, envoy, minister",2,-,n,1300,FU,no_info,no_info,no_info,no_info,-,certain,"('minister', 'minister')",0.770642202,1
követ,https://hu.wiktionary.org/wiki/követ#Magyar,https://en.wiktionary.org/wiki/követ#Hungarian,køvɛt,"follow, claim, demand",1,-,v,1372,FU,no_info,no_info,no_info,no_info,-,certain,"('follow', 'follow')",0.071576763,1
követel,https://hu.wiktionary.org/wiki/követel#Magyar,https://en.wiktionary.org/wiki/követel#Hungarian,køvɛtɛl,"arrogate, assert, claim, command, demand, desire, exact, necessitate, press_for, require, requisition",0,-,v,1792,no_info,no_info,no_info,no_info,derivative,-,certain,"('command', 'command')",0.421532847,0.99999994
köz,https://hu.wiktionary.org/wiki/köz#Magyar,https://en.wiktionary.org/wiki/köz#Hungarian,køz,"alley, alleyway, close, interstice, land, lane, mews, space, space_between",0,-,n,1200,FU,no_info,no_info,no_info,no_info,-,certain,"('land', 'land')",0.185483871,0.99999994
kozák,https://hu.wiktionary.org/wiki/kozák#Magyar,https://en.wiktionary.org/wiki/kozák#Hungarian,kozaːk,Cossack,0,-,n,1530,IE,Slavic,Ukrainian,no_info,no_info,+,certain,(),0,-1
közakarat,https://hu.wiktionary.org/wiki/közakarat#Magyar,https://en.wiktionary.org/wiki/közakarat#Hungarian,køzɒkɒrɒt,public_will,0,-,n,1552,no_info,no_info,no_info,no_info,no_info,-,certain,(),0,-1
közben,https://hu.wiktionary.org/wiki/közben#Magyar,https://en.wiktionary.org/wiki/közben#Hungarian,køzbɛn,"a-, betwixt, during, in_the_midst_of, midst_of, on, pending",0,-,r,1372,no_info,no_info,no_info,no_info,fossilised suffixed form,-,certain,"('on', 'before')",0.095121951,0.906691492
közeg,https://hu.wiktionary.org/wiki/közeg#Magyar,https://en.wiktionary.org/wiki/közeg#Hungarian,køzɛɡ,"agent, medium",0,-,n,1834,no_info,no_info,no_info,no_info,neologism,-,certain,"('medium', 'mix')",0.126420455,0.715083838
közel,https://hu.wiktionary.org/wiki/közel#Magyar,https://en.wiktionary.org/wiki/közel#Hungarian,køzɛl,"about, around, by_near, close, near, near_by, nearly, next_door_to, nigh, toward, towards, up",0,-,r,1372,no_info,no_info,no_info,no_info,fossilised suffixed form,-,certain,"('up', 'up')",0,1.000000119
közép,https://hu.wiktionary.org/wiki/közép#Magyar,https://en.wiktionary.org/wiki/közép#Hungarian,køzeːp,"middle, midst",0,-,a,1372,Ug,no_info,no_info,no_info,no_info,-,uncertain,"('middle', 'middle')",0.154411765,1
közepett,https://hu.wiktionary.org/wiki/közepett#Magyar,https://en.wiktionary.org/wiki/közepett#Hungarian,køzɛpɛtː,midst_of,0,-,r,1416,no_info,no_info,no_info,no_info,fossilised suffixed form,-,certain,(),0,-1
középszerű,https://hu.wiktionary.org/wiki/középszerű#Magyar,https://en.wiktionary.org/wiki/középszerű#Hungarian,køzeːpsɛryː,"indifferent, mediocre, middle, middle-class, run-of-the-mill, slender",0,-,a,1585,no_info,no_info,no_info,no_info,no_info,-,certain,"('middle', 'middle')",0.154411765,1
középút,https://hu.wiktionary.org/wiki/középút#Magyar,https://en.wiktionary.org/wiki/középút#Hungarian,køzeːpuːt,mean,0,-,n,1312,no_info,no_info,no_info,no_info,no_info,-,certain,"('mean', 'if')",0.162295082,0.890986979
közfal,https://hu.wiktionary.org/wiki/közfal#Magyar,https://en.wiktionary.org/wiki/közfal#Hungarian,køzfɒl,wall,0,-,n,1583,no_info,no_info,no_info,no_info,no_info,-,certain,"('wall', 'wall')",0.339694656,1
közhely,https://hu.wiktionary.org/wiki/közhely#Magyar,https://en.wiktionary.org/wiki/közhely#Hungarian,køzhɛj,"banality, cliché, commonplace, hackneyed_phrase, platitude, stereotype, stock_phrase, tag, topic, triteness",0,-,n,1815,IE,Germanic,German,no_info,calque, compound,"+,","('topic', 'address')",0.690340909,0.681726813
kozik,https://hu.wiktionary.org/wiki/kozik#Magyar,https://en.wiktionary.org/wiki/kozik#Hungarian,kozik,-,0,+,r,1372,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
kózik,https://hu.wiktionary.org/wiki/kózik#Magyar,https://en.wiktionary.org/wiki/kózik#Hungarian,koːzik,-,0,+,r,1519,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
közik,https://hu.wiktionary.org/wiki/közik#Magyar,https://en.wiktionary.org/wiki/közik#Hungarian,køzik,-,0,+,r,1372,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
kőzik,https://hu.wiktionary.org/wiki/kőzik#Magyar,https://en.wiktionary.org/wiki/kőzik#Hungarian,køːzik,-,0,+,r,1519,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
közlekedik,https://hu.wiktionary.org/wiki/közlekedik#Magyar,https://en.wiktionary.org/wiki/közlekedik#Hungarian,køzlɛkɛdik,"ply, run, ran, run",0,-,v,1780,no_info,no_info,no_info,no_info,neologism,-,certain,"('run', 'run')",0.024193548,1
kozma,https://hu.wiktionary.org/wiki/kozma#Magyar,https://en.wiktionary.org/wiki/kozma#Hungarian,kozmɒ,burn (scorched food burnt to the bottom of the pan; today used mostly in its derived forms),0,-,n,1700,Turkic,no_info,no_info,no_info,no_info,+,uncertain,(),0,-1
kozmetika,https://hu.wiktionary.org/wiki/kozmetika#Magyar,https://en.wiktionary.org/wiki/kozmetika#Hungarian,kozmɛtikɒ,cosmetics,0,-,n,1854,no_info,no_info,no_info,no_info,internationalism,+,certain,"('cosmetics', 'clothing')",0.197169811,0.684677064
kozmopolita,https://hu.wiktionary.org/wiki/kozmopolita#Magyar,https://en.wiktionary.org/wiki/kozmopolita#Hungarian,kozmopolitɒ,"cosmopolitan, cosmopolite",0,-,a,1789,no_info,no_info,no_info,no_info,internationalism,+,certain,"('cosmopolite', 'awl')",0.278688525,0.57443738
kozmosz,https://hu.wiktionary.org/wiki/kozmosz#Magyar,https://en.wiktionary.org/wiki/kozmosz#Hungarian,kozmos,cosmos,0,-,n,1865,no_info,no_info,no_info,no_info,internationalism,+,certain,"('cosmos', 'boomerang')",0.783333333,0.485184014
köznép,https://hu.wiktionary.org/wiki/köznép#Magyar,https://en.wiktionary.org/wiki/köznép#Hungarian,køzneːp,"common_people, people, populace, rank_and_file, ranks",0,-,n,1372,no_info,no_info,no_info,no_info,no_info,-,certain,"('people', 'people')",0.378486056,1
közöl,https://hu.wiktionary.org/wiki/közöl#Magyar,https://en.wiktionary.org/wiki/közöl#Hungarian,køzøl,"announce, foreshow, foreshowed, foreshown, give, gave, given, give_forth, impart, inform_sy, inform_sy_of_sg, intimate, notify, quote, report, transmit",0,-,v,1416,no_info,no_info,no_info,no_info,derivative,-,certain,"('announce', 'announce')",0.235181644,1
közömbös,https://hu.wiktionary.org/wiki/közömbös#Magyar,https://en.wiktionary.org/wiki/közömbös#Hungarian,køzømbøʃ,"cool, immovable, impassive, incurious, indifferent, inert, insensible, listless, lukewarm, neglectful, neutral, unconcerned",0,-,a,1787,no_info,no_info,no_info,no_info,neologism,-,certain,"('cool', 'hot')",0.085893855,0.860502303
közönség,https://hu.wiktionary.org/wiki/közönség#Magyar,https://en.wiktionary.org/wiki/közönség#Hungarian,køzønʃeːɡ,"audience, house, public",0,-,n,1372,no_info,no_info,no_info,no_info,derivative,-,certain,"('house', 'house')",0.106694561,0.99999994
közöny,https://hu.wiktionary.org/wiki/közöny#Magyar,https://en.wiktionary.org/wiki/közöny#Hungarian,køzøɲ,"deadness, detachment, ennui, frigidity, indifference, insensitivity, languidity, lethargy, phlegm, stolidity, unconcern",0,-,n,1807,no_info,no_info,no_info,no_info,neologism,-,uncertain,"('detachment', 'command')",0.421532847,0.766833484
közös,https://hu.wiktionary.org/wiki/közös#Magyar,https://en.wiktionary.org/wiki/közös#Hungarian,køzøʃ,"collective, common, concerted, corporate, joint, mutual, public",0,-,a,1372,no_info,no_info,no_info,no_info,derivative,-,certain,"('common', 'similar')",0.174363057,0.858980358
között,https://hu.wiktionary.org/wiki/között#Magyar,https://en.wiktionary.org/wiki/között#Hungarian,køzøtː,"amid, amidst, among, amongst, between, betwixt",0,-,r,1372,no_info,no_info,no_info,no_info,fossilised suffixed form,-,certain,"('among', 'many')",0.144230769,0.910968781
központ,https://hu.wiktionary.org/wiki/központ#Magyar,https://en.wiktionary.org/wiki/központ#Hungarian,køzpont,"center, central, centre, ganglion, ganglia, headquarters, seat",0,-,n,1784,no_info,no_info,no_info,no_info,neologism,-,certain,"('central', 'east')",0.233695652,0.847452521
közre,https://hu.wiktionary.org/wiki/közre#Magyar,https://en.wiktionary.org/wiki/közre#Hungarian,køzrɛ,contributed,0,-,n,1525,no_info,no_info,no_info,no_info,fossilised suffixed form,-,certain,"('contributed', 'press')",0.200203252,0.656667829
község,https://hu.wiktionary.org/wiki/község#Magyar,https://en.wiktionary.org/wiki/község#Hungarian,køʒeːɡ,"civil_parish, incorporated_town, parish, village",0,-,n,1372,no_info,no_info,no_info,no_info,derivative,-,certain,"('village', 'village')",0.288718929,1
közület,https://hu.wiktionary.org/wiki/közület#Magyar,https://en.wiktionary.org/wiki/közület#Hungarian,køzylɛt,public_body,0,-,n,1787,no_info,no_info,no_info,no_info,neologism,-,certain,(),0,-1
közvetít,https://hu.wiktionary.org/wiki/közvetít#Magyar,https://en.wiktionary.org/wiki/közvetít#Hungarian,køzvɛtiːt,"convey, cover, interpose, mediate, relay, transmit",0,-,v,1837,no_info,no_info,no_info,no_info,neologism,-,certain,"('cover', 'cover')",0.091282895,1
közvetve,https://hu.wiktionary.org/wiki/közvetve#Magyar,https://en.wiktionary.org/wiki/közvetve#Hungarian,køzvɛtvɛ,"by_implication, indirectly, mediately",0,-,a,1807,no_info,no_info,no_info,no_info,neologism,-,certain,"('indirectly', 'government')",0.633934768,0.640982509
krach,https://hu.wiktionary.org/wiki/krach#Magyar,https://en.wiktionary.org/wiki/krach#Hungarian,krɒt͡sh,"smash, wash-out",0,-,n,1869,IE,Germanic,German,no_info,no_info,+,certain,"('smash', 'shoot')",0.092775041,0.620635688
krajcár,https://hu.wiktionary.org/wiki/krajcár#Magyar,https://en.wiktionary.org/wiki/krajcár#Hungarian,krɒjt͡saːr,Pennies,0,-,a,1494,IE,Germanic,German,no_info,no_info,+,certain,(),0,-1
krakéler,https://hu.wiktionary.org/wiki/krakéler#Magyar,https://en.wiktionary.org/wiki/krakéler#Hungarian,krɒkeːlɛr,swashbuckler,0,-,n,1882,IE,Germanic,German,no_info,no_info,+,certain,"('swashbuckler', 'cormorant')",0.355263158,0.472359449
krákog,https://hu.wiktionary.org/wiki/krákog#Magyar,https://en.wiktionary.org/wiki/krákog#Hungarian,kraːkoɡ,"caw, hack, hawk",0,-,v,1672,no_info,no_info,no_info,no_info,no_info,-,certain,"('hawk', 'hawk')",0.159793814,1
krampács,https://hu.wiktionary.org/wiki/krampács#Magyar,https://en.wiktionary.org/wiki/krampács#Hungarian,krɒmpaːt͡ʃ,krampács,0,-,n,1889,no_info,no_info,no_info,no_info,no_info,-,certain,(),0,-1
krampusz,https://hu.wiktionary.org/wiki/krampusz#Magyar,https://en.wiktionary.org/wiki/krampusz#Hungarian,krɒmpus,devil,0,-,n,1842,IE,Germanic,German,Austria,no_info,+,certain,"('devil', 'curse')",0.168604651,0.731251359
krapek,https://hu.wiktionary.org/wiki/krapek#Magyar,https://en.wiktionary.org/wiki/krapek#Hungarian,krɒpɛk,"bleeder, bloke, cat, dude, sod, yob, yobbo",0,-,a,1862,no_info,no_info,no_info,no_info,no_info,-,certain,"('cat', 'cat')",0.344186047,1
kráter,https://hu.wiktionary.org/wiki/kráter#Magyar,https://en.wiktionary.org/wiki/kráter#Hungarian,kraːtɛr,crater,0,-,n,1636,IE,Romance,Latin,no_info,general,+,certain,"('crater', 'waterfall')",0.224719101,0.649736345
kreál,https://hu.wiktionary.org/wiki/kreál#Magyar,https://en.wiktionary.org/wiki/kreál#Hungarian,krɛaːl,creates,0,-,v,1597,IE,Romance,Latin,no_info,general,+,certain,"('creates', 'scale')",0.208333333,0.677735329
kredenc,https://hu.wiktionary.org/wiki/kredenc#Magyar,https://en.wiktionary.org/wiki/kredenc#Hungarian,krɛdɛnt͡s,credenza,0,-,n,1647,IE,Germanic,German,no_info,no_info,+,certain,"('credenza', 'adze')",0.341269841,0.49614948
krém,https://hu.wiktionary.org/wiki/krém#Magyar,https://en.wiktionary.org/wiki/krém#Hungarian,kreːm,"cream, paste",0,-,n,1804,no_info,no_info,no_info,no_info,internationalism,+,certain,"('cream', 'butter')",0.486607143,0.842981815
krematórium,https://hu.wiktionary.org/wiki/krematórium#Magyar,https://en.wiktionary.org/wiki/krematórium#Hungarian,krɛmɒtoːrium,"crematorium, crematoria, crematory, incinerator",0,-,n,1895,no_info,no_info,no_info,no_info,internationalism,+,certain,"('crematorium', 'candle')",0.626506024,0.497658521
kreol,https://hu.wiktionary.org/wiki/kreol#Magyar,https://en.wiktionary.org/wiki/kreol#Hungarian,krɛol,"Creole, Creole_white",0,-,a,1801,no_info,no_info,no_info,no_info,internationalism,+,certain,(),0,-1
krepdesin,https://hu.wiktionary.org/wiki/krepdesin#Magyar,https://en.wiktionary.org/wiki/krepdesin#Hungarian,krɛpdɛʃin,krepdesin,0,-,n,1908,IE,Romance,Italian,mostly North-Italian,no_info,+,certain,(),0,-1
krepp,https://hu.wiktionary.org/wiki/krepp#Magyar,https://en.wiktionary.org/wiki/krepp#Hungarian,krɛpː,"crepe, seersucker",0,-,n,1818,no_info,no_info,no_info,no_info,internationalism,+,certain,"('seersucker', 'trousers')",0.564516129,0.581478655
kréta,https://hu.wiktionary.org/wiki/kréta#Magyar,https://en.wiktionary.org/wiki/kréta#Hungarian,kreːtɒ,chalk,0,-,n,1600,IE,Romance,Latin,no_info,general,+,certain,"('chalk', 'sand')",0.099447514,0.688064575
kretén,https://hu.wiktionary.org/wiki/kretén#Magyar,https://en.wiktionary.org/wiki/kretén#Hungarian,krɛteːn,cretin,0,-,a,1818,no_info,no_info,no_info,no_info,internationalism,+,certain,"('cretin', 'teat')",0.062260536,0.441878945
krigli,https://hu.wiktionary.org/wiki/krigli#Magyar,https://en.wiktionary.org/wiki/krigli#Hungarian,kriɡli,krigli,0,-,n,1871,IE,Germanic,German,Bavaria,no_info,+,certain,(),0,-1
krikszkraksz,https://hu.wiktionary.org/wiki/krikszkraksz#Magyar,https://en.wiktionary.org/wiki/krikszkraksz#Hungarian,krikskrɒks,krikszkraksz,0,-,v,1848,IE,Germanic,German,no_info,no_info,+,certain,(),0,-1
kriminális,https://hu.wiktionary.org/wiki/kriminális#Magyar,https://en.wiktionary.org/wiki/kriminális#Hungarian,kriminaːliʃ,atrocious,0,-,a,1588,IE,Romance,Latin,no_info,general,+,certain,"('atrocious', 'ugly')",0.249087591,0.538184941
krinolin,https://hu.wiktionary.org/wiki/krinolin#Magyar,https://en.wiktionary.org/wiki/krinolin#Hungarian,krinolin,"polony, sausage",2,-,n,1953,no_info,no_info,no_info,no_info,no_info,-,certain,"('sausage', 'sausage')",0.528985507,1
krinolin,https://hu.wiktionary.org/wiki/krinolin#Magyar,https://en.wiktionary.org/wiki/krinolin#Hungarian,krinolin,crinoline,1,-,n,1840,no_info,no_info,no_info,no_info,internationalism,+,certain,"('crinoline', 'fishnet')",0.263157895,0.57591188
kripta,https://hu.wiktionary.org/wiki/kripta#Magyar,https://en.wiktionary.org/wiki/kripta#Hungarian,kriptɒ,"charnel-house, vault",0,-,n,1692,IE,Romance,Latin,no_info,general,+,certain,"('vault', 'pole')",0.389097744,0.620935023
kristály,https://hu.wiktionary.org/wiki/kristály#Magyar,https://en.wiktionary.org/wiki/kristály#Hungarian,kriʃtaːj,crystal,0,-,n,1416,no_info,no_info,no_info,no_info,internationalism, Wanderwort,"+,","('crystal', 'glass')",0.61784141,0.69806987
kritérium,https://hu.wiktionary.org/wiki/kritérium#Magyar,https://en.wiktionary.org/wiki/kritérium#Hungarian,kriteːrium,"criterion, criteria",0,-,n,1717,IE,Romance,Latin,no_info,general,+,certain,"('criteria', 'certain')",0.32537961,0.674525678
kritikus,https://hu.wiktionary.org/wiki/kritikus#Magyar,https://en.wiktionary.org/wiki/kritikus#Hungarian,kritikuʃ,"censorious, critic, critical, crucial",0,-,a,1720,IE,Romance,Latin,no_info,general,+,certain,"('crucial', 'key')",0.473469388,0.854614139
krizantém,https://hu.wiktionary.org/wiki/krizantém#Magyar,https://en.wiktionary.org/wiki/krizantém#Hungarian,krizɒnteːm,chrysanthemum,0,-,n,1806,IE,Romance,Latin,no_info,general,+,certain,"('chrysanthemum', 'spindle')",0.1,0.538988471
krízis,https://hu.wiktionary.org/wiki/krízis#Magyar,https://en.wiktionary.org/wiki/krízis#Hungarian,kriːziʃ,"crisis, crisis, crises, juncture",0,-,n,1741,IE,Romance,Latin,no_info,general,+,certain,"('crisis', 'debt')",0.307531381,0.73527211
kroki,https://hu.wiktionary.org/wiki/kroki#Magyar,https://en.wiktionary.org/wiki/kroki#Hungarian,kroki,"gossip, pen_sketch",0,-,n,1844,IE,Romance,Italian,mostly North-Italian,no_info,+,certain,"('gossip', 'newspaper')",0.684243964,0.56004113
krokodil,https://hu.wiktionary.org/wiki/krokodil#Magyar,https://en.wiktionary.org/wiki/krokodil#Hungarian,krokodil,crocodile,0,-,n,1578,IE,Romance,Latin,no_info,general,+,certain,"('crocodile', 'crocodile')",0.533333333,1
krokodilkönnyek,https://hu.wiktionary.org/wiki/krokodilkönnyek#Magyar,https://en.wiktionary.org/wiki/krokodilkönnyek#Hungarian,krokodilkøɲːɛk,crocodile_tears,0,-,n,1804,no_info,no_info,no_info,no_info,internationalism, compound,"+,",(),0,-1
króm,https://hu.wiktionary.org/wiki/króm#Magyar,https://en.wiktionary.org/wiki/króm#Hungarian,kroːm,"chrome, chromium",0,-,n,1802,no_info,no_info,no_info,no_info,internationalism,+,certain,"('chrome', 'leather')",0.135278515,0.600069344
krónika,https://hu.wiktionary.org/wiki/krónika#Magyar,https://en.wiktionary.org/wiki/krónika#Hungarian,kroːnikɒ,"annals, chronicle",0,-,n,1517,IE,Romance,Latin,no_info,general,+,certain,"('chronicle', 'newspaper')",0.684243964,0.661021948
krónikus,https://hu.wiktionary.org/wiki/krónikus#Magyar,https://en.wiktionary.org/wiki/krónikus#Hungarian,kroːnikuʃ,chronic,0,-,n,1796,IE,Romance,Latin,no_info,general,+,certain,"('chronic', 'disease')",0.338235294,0.751176178
krúgat,https://hu.wiktionary.org/wiki/krúgat#Magyar,https://en.wiktionary.org/wiki/krúgat#Hungarian,kruːɡɒt,Krug,0,-,n,1850,no_info,no_info,no_info,no_info,no_info,-,certain,(),0,-1
krumpli,https://hu.wiktionary.org/wiki/krumpli#Magyar,https://en.wiktionary.org/wiki/krumpli#Hungarian,krumpli,"potato, tuber",0,-,n,1768,IE,Germanic,German,Bavaria,no_info,+,certain,"('potato', 'potato')",0.421551724,1
kubikol,https://hu.wiktionary.org/wiki/kubikol#Magyar,https://en.wiktionary.org/wiki/kubikol#Hungarian,kubikol,kubikol,0,-,n,1869,no_info,no_info,no_info,no_info,derivative,-,certain,(),0,-1
kübli,https://hu.wiktionary.org/wiki/kübli#Magyar,https://en.wiktionary.org/wiki/kübli#Hungarian,kybli,slop_pail,0,-,n,1839,IE,Germanic,German,no_info,no_info,+,certain,(),0,-1
kuckó,https://hu.wiktionary.org/wiki/kuckó#Magyar,https://en.wiktionary.org/wiki/kuckó#Hungarian,kut͡skoː,snug,0,-,a,1604,no_info,no_info,no_info,no_info,no_info,-,certain,"('snug', 'trousers')",0.564516129,0.587008536
kucorog,https://hu.wiktionary.org/wiki/kucorog#Magyar,https://en.wiktionary.org/wiki/kucorog#Hungarian,kut͡soroɡ,squat,0,-,n,1645,no_info,no_info,no_info,no_info,derivative,-,certain,"('squat', 'chimney')",0.335714286,0.701327145
kucséber,https://hu.wiktionary.org/wiki/kucséber#Magyar,https://en.wiktionary.org/wiki/kucséber#Hungarian,kut͡ʃeːbɛr,morel_alert,0,-,n,1845,IE,Germanic,German,Bavaria,no_info,+,certain,(),0,-1
kucsma,https://hu.wiktionary.org/wiki/kucsma#Magyar,https://en.wiktionary.org/wiki/kucsma#Hungarian,kut͡ʃmɒ,"busby, fur_cap",0,-,n,1682,IE,Slavic,Croatian, Serbian,no_info,-,"+,?","('busby', 'mead')",0.319444444,0.432553262
