L2_orth,L2_link,L2_latin,L2_ipa,L2_en,L2_pos,L2_in
𐌼𐌰𐌽𐌰𐍃𐌴𐌸𐍃,https://en.wiktionary.org/wiki/𐌼𐌰𐌽𐌰𐍃𐌴𐌸𐍃#Gothic,manasēþs,manaseθs,", world",n,manaseθs
𐌼𐌰𐌽𐌰𐍃𐌴𐌹𐌸𐍃,https://en.wiktionary.org/wiki/𐌼𐌰𐌽𐌰𐍃𐌴𐌹𐌸𐍃#Gothic,manasēiþs,manaseɪθs,Alternative_spelling_of_𐌼𐌰𐌽𐌰𐍃𐌴𐌸𐍃,n,manaseɪθs
𐌼𐌰𐌽𐌻𐌴𐌹𐌺𐌰,https://en.wiktionary.org/wiki/𐌼𐌰𐌽𐌻𐌴𐌹𐌺𐌰#Gothic,manlēika,manleɪka,"an_image, likeness, , portrait",n,manleɪka
𐌼𐌰𐌽𐌽𐌰,https://en.wiktionary.org/wiki/𐌼𐌰𐌽𐌽𐌰#Gothic,manna,manna,man,n,manna
𐌼𐌰𐌽𐌽𐌰𐌷𐌿𐌽,https://en.wiktionary.org/wiki/𐌼𐌰𐌽𐌽𐌰𐌷𐌿𐌽#Gothic,mannahun,mannahun,anyone,r,mannahun
𐌼𐌰𐌽𐌽𐌹𐍃𐌺𐍃,https://en.wiktionary.org/wiki/𐌼𐌰𐌽𐌽𐌹𐍃𐌺𐍃#Gothic,mannisks,mannɪsks,human,a,mannɪsks
𐌼𐌰𐌽𐌽𐌹𐍃𐌺𐍉𐌳𐌿𐍃,https://en.wiktionary.org/wiki/𐌼𐌰𐌽𐌽𐌹𐍃𐌺𐍉𐌳𐌿𐍃#Gothic,manniskōdus,mannɪskoðus,"humanity, human_nature",n,mannɪskoðus
𐌼𐌰𐌽𐍅𐌹𐌸𐌰,https://en.wiktionary.org/wiki/𐌼𐌰𐌽𐍅𐌹𐌸𐌰#Gothic,manwiþa,manwɪθa,"preparedness, readiness, preparation",n,manwɪθa
𐌼𐌰𐌽𐍅𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌰𐌽𐍅𐌾𐌰𐌽#Gothic,manwjan,manwjan,prepare,v,manwj
𐌼𐌰𐌽𐍅𐌿𐌱𐌰,https://en.wiktionary.org/wiki/𐌼𐌰𐌽𐍅𐌿𐌱𐌰#Gothic,manwuba,manwuβa,preparedly,r,manwuβa
𐌼𐌰𐌽𐍅𐌿𐍃,https://en.wiktionary.org/wiki/𐌼𐌰𐌽𐍅𐌿𐍃#Gothic,manwus,manwus,"ready, prepared",a,manwus
𐌼𐌰𐌿𐌳𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌰𐌿𐌳𐌾𐌰𐌽#Gothic,maudjan,mɔðjan,remind,v,mɔðj
𐌼𐌰𐌿𐍂𐌲𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌼𐌰𐌿𐍂𐌲𐌹𐌽𐍃#Gothic,maurgins,mɔrɡɪns,morning,n,mɔrɡɪns
𐌼𐌰𐌿𐍂𐌸𐍂,https://en.wiktionary.org/wiki/𐌼𐌰𐌿𐍂𐌸𐍂#Gothic,maurþr,mɔrθr,murder,n,mɔrθr
𐌼𐌰𐌿𐍂𐌸𐍂𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌰𐌿𐍂𐌸𐍂𐌾𐌰𐌽#Gothic,maurþrjan,mɔrθr̥jan,"murder, kill",v,mɔrθr̥j
𐌼𐌰𐌿𐍂𐌽𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌰𐌿𐍂𐌽𐌰𐌽#Gothic,maurnan,mɔrnan,"mourn, be_anxious",v,mɔrn
𐌼𐌰𐍂𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌰𐍂𐌰𐌽#Gothic,maran,maran,Only_used_in_𐌼𐌰𐍂𐌰𐌽_𐌰𐌸𐌰,r,maran
𐌼𐌰𐍂𐌰𐌽 𐌰𐌸𐌰,https://en.wiktionary.org/wiki/𐌼𐌰𐍂𐌰𐌽 𐌰𐌸𐌰#Gothic,maran aþa,maranaθa,maranatha,r,maranaθa
𐌼𐌰𐍂𐌴𐌹,https://en.wiktionary.org/wiki/𐌼𐌰𐍂𐌴𐌹#Gothic,marēi,mareɪ,sea,n,mareɪ
𐌼𐌰𐍂𐌶𐌴𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌼𐌰𐍂𐌶𐌴𐌹𐌽𐍃#Gothic,marzēins,marzeɪns,"stumbling_block, impediment, hindrance",n,marzeɪns
𐌼𐌰𐍂𐌶𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌰𐍂𐌶𐌾𐌰𐌽#Gothic,marzjan,marzjan,"impede, hamper, hinder, impair",v,marzj
𐌼𐌰𐍂𐌷𐍃,https://en.wiktionary.org/wiki/Reconstruction:Gothic/𐌼𐌰𐍂𐌷𐍃#Gothic,marhs,marhs,horse,n,marhs
𐌼𐌰𐍂𐌸𐌰,https://en.wiktionary.org/wiki/𐌼𐌰𐍂𐌸𐌰#Gothic,marþa,marθa,"Martha, , Biblical_character",n,marθa
𐌼𐌰𐍂𐌹𐌰,https://en.wiktionary.org/wiki/𐌼𐌰𐍂𐌹𐌰#Gothic,maria,marɪa,Alternative_spelling_of_𐌼𐌰𐍂𐌾𐌰,n,marɪa
𐌼𐌰𐍂𐌹𐌺𐍂𐌴𐌹𐍄𐌿𐍃,https://en.wiktionary.org/wiki/𐌼𐌰𐍂𐌹𐌺𐍂𐌴𐌹𐍄𐌿𐍃#Gothic,marikrēitus,marɪkreɪtus,pearl,n,marɪkreɪtus
𐌼𐌰𐍂𐌹𐍃𐌰𐌹𐍅𐍃,https://en.wiktionary.org/wiki/𐌼𐌰𐍂𐌹𐍃𐌰𐌹𐍅𐍃#Gothic,marisaiws,marɪsɛws,lake,n,marɪsɛws
𐌼𐌰𐍂𐌺𐌰,https://en.wiktionary.org/wiki/𐌼𐌰𐍂𐌺𐌰#Gothic,marka,marka,"boundary, coast",n,marka
𐌼𐌰𐍂𐌺𐌰𐌹𐌻𐌻𐌹𐌿𐍃,https://en.wiktionary.org/wiki/𐌼𐌰𐍂𐌺𐌰𐌹𐌻𐌻𐌹𐌿𐍃#Gothic,markaillius,markɛllɪus,"Marcellus_of_Ancyra, , fourth_century_bishop.",n,markɛllɪus
𐌼𐌰𐍂𐌺𐌿𐍃,https://en.wiktionary.org/wiki/𐌼𐌰𐍂𐌺𐌿𐍃#Gothic,markus,markus,"Mark, , Biblical_character",n,markus
𐌼𐌰𐍄𐌹𐌱𐌰𐌻𐌲𐍃,https://en.wiktionary.org/wiki/𐌼𐌰𐍄𐌹𐌱𐌰𐌻𐌲𐍃#Gothic,matibalgs,matɪβalɡs,"food_bag, knapsack, scrip",n,matɪβalɡs
𐌼𐌰𐍄𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌰𐍄𐌾𐌰𐌽#Gothic,matjan,matjan,"eat, have_, meal, dine",v,matj
𐌼𐌰𐍄𐍃,https://en.wiktionary.org/wiki/𐌼𐌰𐍄𐍃#Gothic,mats,mats,food,n,mats
𐌼𐌰𐍅𐌹,https://en.wiktionary.org/wiki/𐌼𐌰𐍅𐌹#Gothic,mawi,mawɪ,girl,n,mawɪ
𐌼𐌰𐍅𐌹𐌻𐍉,https://en.wiktionary.org/wiki/𐌼𐌰𐍅𐌹𐌻𐍉#Gothic,mawilō,mawɪlo,girl,n,mawɪlo
𐌼𐌴𐌲𐍃,https://en.wiktionary.org/wiki/𐌼𐌴𐌲𐍃#Gothic,mēgs,meɣs,son_in_law,n,meɣs
𐌼𐌴𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌼𐌴𐌹𐌽𐍃#Gothic,mēins,meɪns,"my, mine",r,meɪns
𐌼𐌴𐌺𐌴𐌹𐍃,https://en.wiktionary.org/wiki/𐌼𐌴𐌺𐌴𐌹𐍃#Gothic,mēkēis,mekeɪs,shortsword,n,mekeɪs
𐌼𐌴𐌻,https://en.wiktionary.org/wiki/𐌼𐌴𐌻#Gothic,mēl,mel,", point_in_time, especially_an_appointed_or_fixed_time",n,mel
𐌼𐌴𐌻𐌰,https://en.wiktionary.org/wiki/𐌼𐌴𐌻𐌰#Gothic,mēla,mela,", measure_of_grain, perhaps_equivalent_, Roman_modius",n,mela
𐌼𐌴𐌻𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌴𐌻𐌾𐌰𐌽#Gothic,mēljan,meljan,write,v,melj
𐌼𐌴𐌽𐌰,https://en.wiktionary.org/wiki/𐌼𐌴𐌽𐌰#Gothic,mēna,mena,", Moon",n,mena
𐌼𐌴𐌽𐍉𐌸𐍃,https://en.wiktionary.org/wiki/𐌼𐌴𐌽𐍉𐌸𐍃#Gothic,mēnōþs,menoθs,month,n,menoθs
𐌼𐌴𐍂𐌴𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌼𐌴𐍂𐌴𐌹𐌽𐍃#Gothic,mērēins,mereɪns,proclamation,n,mereɪns
𐌼𐌴𐍂𐌹𐌸𐌰,https://en.wiktionary.org/wiki/𐌼𐌴𐍂𐌹𐌸𐌰#Gothic,mēriþa,merɪθa,"fame, renown",n,merɪθa
𐌼𐌴𐍂𐌹𐌻𐌰,https://en.wiktionary.org/wiki/𐌼𐌴𐍂𐌹𐌻𐌰#Gothic,mērila,merɪla,A_male_given_name,n,merɪla
𐌼𐌴𐍂𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌴𐍂𐌾𐌰𐌽#Gothic,mērjan,merjan,proclaim,v,merj
𐌼𐌴𐍂𐌾𐌰𐌽𐌳𐍃,https://en.wiktionary.org/wiki/𐌼𐌴𐍂𐌾𐌰𐌽𐌳𐍃#Gothic,mērjands,merjands,,r,merjands
𐌼𐌴𐍃,https://en.wiktionary.org/wiki/𐌼𐌴𐍃#Gothic,mēs,mes,table,n,mes
𐌼𐌹𐌳𐌲𐌰𐍂𐌳𐌹𐍅𐌰𐌳𐌳𐌾𐌿𐍃,https://en.wiktionary.org/wiki/𐌼𐌹𐌳𐌲𐌰𐍂𐌳𐌹𐍅𐌰𐌳𐌳𐌾𐌿𐍃#Gothic,midgardiwaddjus,mɪðɡardɪwaddjus,", middle_wall, , fence",n,mɪðɡardɪwaddjus
𐌼𐌹𐌳𐌾𐌰𐍃𐍅𐌴𐌹𐍀𐌰𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌼𐌹𐌳𐌾𐌰𐍃𐍅𐌴𐌹𐍀𐌰𐌹𐌽𐍃#Gothic,midjaswēipains,mɪðjasweɪpɛns,"deluge, cataclysmic_flood",n,mɪðjasweɪpɛns
𐌼𐌹𐌳𐌾𐌹𐍃,https://en.wiktionary.org/wiki/𐌼𐌹𐌳𐌾𐌹𐍃#Gothic,midjis,mɪðjɪs,middle,a,mɪðjɪs
𐌼𐌹𐌳𐌾𐌿𐌽𐌲𐌰𐍂𐌳𐍃,https://en.wiktionary.org/wiki/𐌼𐌹𐌳𐌾𐌿𐌽𐌲𐌰𐍂𐌳𐍃#Gothic,midjungards,mɪðjunɡards,", inhabited_world, ecumene",n,mɪðjunɡards
𐌼𐌹𐌳𐌿𐌼𐌰,https://en.wiktionary.org/wiki/𐌼𐌹𐌳𐌿𐌼𐌰#Gothic,miduma,mɪðuma,"middle, midst",n,mɪðuma
𐌼𐌹𐌳𐌿𐌼𐍉𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐌳𐌿𐌼𐍉𐌽#Gothic,midumōn,mɪðumon,mediate,v,mɪðumon
𐌼𐌹𐌶𐌳𐍉,https://en.wiktionary.org/wiki/𐌼𐌹𐌶𐌳𐍉#Gothic,mizdō,mɪzdo,"reward, recompense, payment",n,mɪzdo
𐌼𐌹𐌸,https://en.wiktionary.org/wiki/𐌼𐌹𐌸#Gothic,miþ,mɪθ,together_with,r,mɪθ
𐌼𐌹𐌸-,https://en.wiktionary.org/wiki/𐌼𐌹𐌸-#Gothic,miþ-,mɪθ,,r,mɪθ
𐌼𐌹𐌸𐌰𐍂𐌱𐌰𐌹𐌳𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐌸𐌰𐍂𐌱𐌰𐌹𐌳𐌾𐌰𐌽#Gothic,miþarbaidjan,mɪθarbɛðjan,toil_or_struggle_together,v,mɪθarbɛðj
𐌼𐌹𐌸𐌲𐌰𐌲𐌲𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐌸𐌲𐌰𐌲𐌲𐌰𐌽#Gothic,miþgaggan,mɪθɡaŋɡan,go_or_come_along,v,mɪθɡaŋɡ
𐌼𐌹𐌸𐌲𐌰𐌳𐌰𐌿𐌸𐌽𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐌸𐌲𐌰𐌳𐌰𐌿𐌸𐌽𐌰𐌽#Gothic,miþgadauþnan,mɪθɡaðɔθnan,die_together,v,mɪθɡaðɔθn
𐌼𐌹𐌸𐌲𐌰𐍄𐌹𐌼𐍂𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐌸𐌲𐌰𐍄𐌹𐌼𐍂𐌾𐌰𐌽#Gothic,miþgatimrjan,mɪθɡatɪmr̥jan,build_up_together,v,mɪθɡatɪmr̥j
𐌼𐌹𐌸𐌲𐌰𐍅𐌹𐍃𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐌸𐌲𐌰𐍅𐌹𐍃𐌰𐌽#Gothic,miþgawisan,mɪθɡawɪsan,abide_together_with,v,mɪθɡawɪs
𐌼𐌹𐌸𐌹𐌽𐌽𐌲𐌰𐌻𐌴𐌹𐌸𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐌸𐌹𐌽𐌽𐌲𐌰𐌻𐌴𐌹𐌸𐌰𐌽#Gothic,miþinngalēiþan,mɪθɪnn̥ɡaleɪθan,enter_together,v,mɪθɪnn̥ɡaleɪθ
𐌼𐌹𐌸𐌹𐌽𐍃𐌰𐌽𐌳𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐌸𐌹𐌽𐍃𐌰𐌽𐌳𐌾𐌰𐌽#Gothic,miþinsandjan,mɪθɪnsandjan,"send_someone_along_as_, companion",v,mɪθɪnsandj
𐌼𐌹𐌸𐌻𐌹𐌱𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐌸𐌻𐌹𐌱𐌰𐌽#Gothic,miþliban,mɪθlɪβan,live_with_someone_or_something,v,mɪθlɪβ
𐌼𐌹𐌸𐌼𐌰𐍄𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐌸𐌼𐌰𐍄𐌾𐌰𐌽#Gothic,miþmatjan,mɪθmatjan,eat_together,v,mɪθmatj
𐌼𐌹𐌸𐌽𐌹𐌼𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐌸𐌽𐌹𐌼𐌰𐌽#Gothic,miþniman,mɪθnɪman,receive,v,mɪθnɪm
𐌼𐌹𐌸𐌿𐍃𐌺𐌴𐌹𐌽𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐌸𐌿𐍃𐌺𐌴𐌹𐌽𐌰𐌽#Gothic,miþuskēinan,mɪθuskeɪnan,"sprout_up_with, spring_up_with",v,mɪθuskeɪn
𐌼𐌹𐌸𐍅𐌴𐌹𐍄𐍅𐍉𐌳𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐌸𐍅𐌴𐌹𐍄𐍅𐍉𐌳𐌾𐌰𐌽#Gothic,miþwēitwōdjan,mɪθweɪtwoðjan,testify_together,v,mɪθweɪtwoðj
𐌼𐌹𐌸𐍅𐌹𐍃𐍃𐌴𐌹,https://en.wiktionary.org/wiki/𐌼𐌹𐌸𐍅𐌹𐍃𐍃𐌴𐌹#Gothic,miþwissēi,mɪθwɪsseɪ,"awareness, conscience",n,mɪθwɪsseɪ
𐌼𐌹𐌺𐌹𐌻𐌰𐌱𐌰,https://en.wiktionary.org/wiki/𐌼𐌹𐌺𐌹𐌻𐌰𐌱𐌰#Gothic,mikilaba,mɪkɪlaβa,greatly,r,mɪkɪlaβa
𐌼𐌹𐌺𐌹𐌻𐌳𐌿𐌸𐍃,https://en.wiktionary.org/wiki/𐌼𐌹𐌺𐌹𐌻𐌳𐌿𐌸𐍃#Gothic,mikilduþs,mɪkɪlduθs,"magnitude, greatness",n,mɪkɪlduθs
𐌼𐌹𐌺𐌹𐌻𐌴𐌹,https://en.wiktionary.org/wiki/𐌼𐌹𐌺𐌹𐌻𐌴𐌹#Gothic,mikilēi,mɪkɪleɪ,"greatness, majesty",n,mɪkɪleɪ
𐌼𐌹𐌺𐌹𐌻𐌸𐌿𐌷𐍄𐍃,https://en.wiktionary.org/wiki/𐌼𐌹𐌺𐌹𐌻𐌸𐌿𐌷𐍄𐍃#Gothic,mikilþuhts,mɪkɪlθuhts,"arrogant, of_great_reputation_or_thinking_oneself_be_great",a,mɪkɪlθuhts
𐌼𐌹𐌺𐌹𐌻𐌽𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐌺𐌹𐌻𐌽𐌰𐌽#Gothic,mikilnan,mɪkɪlnan,become_large_or_great,v,mɪkɪln
𐌼𐌹𐌺𐌹𐌻𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐌺𐌹𐌻𐌾𐌰𐌽#Gothic,mikiljan,mɪkɪljan,"make_large, enlarge, magnify",v,mɪkɪlj
𐌼𐌹𐌺𐌹𐌻𐍃,https://en.wiktionary.org/wiki/𐌼𐌹𐌺𐌹𐌻𐍃#Gothic,mikils,mɪkɪls,"large, great, big",a,mɪkɪls
𐌼𐌹𐌻𐌳𐌹𐌸𐌰,https://en.wiktionary.org/wiki/𐌼𐌹𐌻𐌳𐌹𐌸𐌰#Gothic,mildiþa,mɪldɪθa,"compassion, mildness",n,mɪldɪθa
𐌼𐌹𐌻𐌷𐌼𐌰,https://en.wiktionary.org/wiki/𐌼𐌹𐌻𐌷𐌼𐌰#Gothic,milhma,mɪlhma,cloud,n,mɪlhma
𐌼𐌹𐌻𐌹𐌸,https://en.wiktionary.org/wiki/𐌼𐌹𐌻𐌹𐌸#Gothic,miliþ,mɪlɪθ,honey,n,mɪlɪθ
𐌼𐌹𐌻𐌹𐍄𐍉𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐌻𐌹𐍄𐍉𐌽#Gothic,militōn,mɪlɪton,serve_in_thearmy,v,mɪlɪton
𐌼𐌹𐌻𐌿𐌺𐍃,https://en.wiktionary.org/wiki/𐌼𐌹𐌻𐌿𐌺𐍃#Gothic,miluks,mɪluks,milk,n,mɪluks
𐌼𐌹𐌼𐌶,https://en.wiktionary.org/wiki/𐌼𐌹𐌼𐌶#Gothic,mimz,mɪmz,meat,n,mɪmz
𐌼𐌹𐌽𐌶𐌽𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐌽𐌶𐌽𐌰𐌽#Gothic,minznan,mɪnznan,"diminish, decrease",v,mɪnzn
𐌼𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌼𐌹𐌽𐍃#Gothic,mins,mɪns,"less, fewer",r,mɪns
𐌼𐌹𐍃𐍃𐌰-,https://en.wiktionary.org/wiki/𐌼𐌹𐍃𐍃𐌰-#Gothic,missa-,mɪssa,,r,mɪssa
𐌼𐌹𐍃𐍃𐌰𐌳𐌴𐌳𐍃,https://en.wiktionary.org/wiki/𐌼𐌹𐍃𐍃𐌰𐌳𐌴𐌳𐍃#Gothic,missadēds,mɪssaðeðs,Alternative_spelling_of_𐌼𐌹𐍃𐍃𐌰𐌳𐌴𐌸𐍃,n,mɪssaðeðs
𐌼𐌹𐍃𐍃𐌰𐌳𐌴𐌸𐍃,https://en.wiktionary.org/wiki/𐌼𐌹𐍃𐍃𐌰𐌳𐌴𐌸𐍃#Gothic,missadēþs,mɪssaðeθs,"misdeed, transgression",n,mɪssaðeθs
𐌼𐌹𐍃𐍃𐌰𐌵𐌹𐍃𐍃,https://en.wiktionary.org/wiki/𐌼𐌹𐍃𐍃𐌰𐌵𐌹𐍃𐍃#Gothic,missaqiss,mɪssakʷɪss,"dissidence, discord, dissension, division",n,mɪssakʷɪss
𐌼𐌹𐍃𐍃𐌰𐌻𐌴𐌹𐌺𐍃,https://en.wiktionary.org/wiki/𐌼𐌹𐍃𐍃𐌰𐌻𐌴𐌹𐌺𐍃#Gothic,missalēiks,mɪssaleɪks,"diverse, various",a,mɪssaleɪks
𐌼𐌹𐍃𐍃𐍉,https://en.wiktionary.org/wiki/𐌼𐌹𐍃𐍃𐍉#Gothic,missō,mɪsso,"reciprocally, , one_, other, one_another",r,mɪsso
𐌼𐌹𐍄𐌰𐌳𐍃,https://en.wiktionary.org/wiki/𐌼𐌹𐍄𐌰𐌳𐍃#Gothic,mitads,mɪtaðs,Alternative_spelling_of_𐌼𐌹𐍄𐌰𐌸𐍃,n,mɪtaðs
𐌼𐌹𐍄𐌰𐌸𐍃,https://en.wiktionary.org/wiki/𐌼𐌹𐍄𐌰𐌸𐍃#Gothic,mitaþs,mɪtaθs,measure,n,mɪtaθs
𐌼𐌹𐍄𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐍄𐌰𐌽#Gothic,mitan,mɪtan,"measure, gauge",v,mɪt
𐌼𐌹𐍄𐍉𐌽,https://en.wiktionary.org/wiki/𐌼𐌹𐍄𐍉𐌽#Gothic,mitōn,mɪton,"fathom, deliberate, consider, think_over",v,mɪton
𐌼𐌹𐍄𐍉𐌽𐍃,https://en.wiktionary.org/wiki/𐌼𐌹𐍄𐍉𐌽𐍃#Gothic,mitōns,mɪtons,"thoughts, opinions, deliberations",n,mɪtons
𐌼𐌿𐌺𐌰𐌼𐍉𐌳𐌴𐌹,https://en.wiktionary.org/wiki/𐌼𐌿𐌺𐌰𐌼𐍉𐌳𐌴𐌹#Gothic,mukamōdēi,mukamoðeɪ,"meekness, gentleness",n,mukamoðeɪ
𐌼𐌿𐌻𐌳𐌰,https://en.wiktionary.org/wiki/𐌼𐌿𐌻𐌳𐌰#Gothic,mulda,mulda,dust,n,mulda
𐌼𐌿𐌻𐌳𐌴𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌼𐌿𐌻𐌳𐌴𐌹𐌽𐍃#Gothic,muldēins,muldeɪns,"earthy, made_of_dust",a,muldeɪns
𐌼𐌿𐌽𐌰𐌽,https://en.wiktionary.org/wiki/𐌼𐌿𐌽𐌰𐌽#Gothic,munan,munan,"reckon, suppose",v,mun
𐌼𐌿𐌽𐌳𐍂𐌴𐌹,https://en.wiktionary.org/wiki/𐌼𐌿𐌽𐌳𐍂𐌴𐌹#Gothic,mundrēi,mundreɪ,"goal, aim, objective",n,mundreɪ
𐌼𐌿𐌽𐌳𐍉𐌽,https://en.wiktionary.org/wiki/𐌼𐌿𐌽𐌳𐍉𐌽#Gothic,mundōn,mundon,"pay_attention, observe",v,mundon
𐌼𐌿𐌽𐌸𐍃,https://en.wiktionary.org/wiki/𐌼𐌿𐌽𐌸𐍃#Gothic,munþs,munθs,mouth,n,munθs
-𐌼𐌿𐌽𐌹,https://en.wiktionary.org/wiki/-𐌼𐌿𐌽𐌹#Gothic,-muni,munɪ,,r,munɪ
𐌼𐌿𐌽𐍃,https://en.wiktionary.org/wiki/𐌼𐌿𐌽𐍃#Gothic,muns,muns,"preparedness, readiness",n,muns
𐌼𐍉𐌳𐌰𐌲𐍃,https://en.wiktionary.org/wiki/𐌼𐍉𐌳𐌰𐌲𐍃#Gothic,mōdags,moðaɣs,angry,a,moðaɣs
𐌼𐍉𐌸𐍃,https://en.wiktionary.org/wiki/𐌼𐍉𐌸𐍃#Gothic,mōþs,moθs,"mood, temper",n,moθs
𐌼𐍉𐍃𐌴𐌶,https://en.wiktionary.org/wiki/𐌼𐍉𐍃𐌴𐌶#Gothic,mōsēz,mosez,,r,mosez
𐌼𐍉𐍃𐌴𐍃,https://en.wiktionary.org/wiki/𐌼𐍉𐍃𐌴𐍃#Gothic,mōsēs,moses,"Moses, , Biblical_character",n,moses
𐌼𐍉𐍄𐌰,https://en.wiktionary.org/wiki/𐌼𐍉𐍄𐌰#Gothic,mōta,mota,"tax, tribute, customs",n,mota
𐌼𐍉𐍄𐌰𐍂𐌴𐌹𐍃,https://en.wiktionary.org/wiki/𐌼𐍉𐍄𐌰𐍂𐌴𐌹𐍃#Gothic,mōtarēis,motareɪs,"publican, tax_collector, customs_officer",n,motareɪs
𐌼𐍉𐍄𐌰𐍃𐍄𐌰𐌸𐍃,https://en.wiktionary.org/wiki/𐌼𐍉𐍄𐌰𐍃𐍄𐌰𐌸𐍃#Gothic,mōtastaþs,motastaθs,"tax_booth, publican's_office",n,motastaθs
𐌽,https://en.wiktionary.org/wiki/𐌽#Gothic,n,n,"The_fourteenth_letter_of_, Gothic_alphabet, representing_/n/, with_, numerical_value_of_50.",r,n
𐌽𐌰𐌱𐌿𐌺𐌰𐌿𐌳𐌰𐌿𐌽𐌰𐌿𐍃𐌰𐌿𐍂,https://en.wiktionary.org/wiki/𐌽𐌰𐌱𐌿𐌺𐌰𐌿𐌳𐌰𐌿𐌽𐌰𐌿𐍃𐌰𐌿𐍂#Gothic,nabukaudaunausaur,naβukɔðɔnɔsɔr,Nebuchadnezzar,n,naβukɔðɔnɔsɔr
𐌽𐌰𐌳𐍂𐍃,https://en.wiktionary.org/wiki/𐌽𐌰𐌳𐍂𐍃#Gothic,nadrs,naðr̥s,"viper, adder",n,naðr̥s
𐌽𐌰𐌵𐌰𐌳𐌴𐌹,https://en.wiktionary.org/wiki/𐌽𐌰𐌵𐌰𐌳𐌴𐌹#Gothic,naqadēi,nakʷaðeɪ,"nudity, nakedness",n,nakʷaðeɪ
𐌽𐌰𐌵𐌰𐌸𐍃,https://en.wiktionary.org/wiki/𐌽𐌰𐌵𐌰𐌸𐍃#Gothic,naqaþs,nakʷaθs,"naked, nudity",a,nakʷaθs
𐌽𐌰𐌶𐌰𐍂𐌰𐌹𐌸,https://en.wiktionary.org/wiki/𐌽𐌰𐌶𐌰𐍂𐌰𐌹𐌸#Gothic,nazaraiþ,nazarɛθ,Nazareth,n,nazarɛθ
𐌽𐌰𐌷𐍄𐌰𐌼𐌰𐍄𐍃,https://en.wiktionary.org/wiki/𐌽𐌰𐌷𐍄𐌰𐌼𐌰𐍄𐍃#Gothic,nahtamats,nahtamats,supper,n,nahtamats
𐌽𐌰𐌷𐍄𐍃,https://en.wiktionary.org/wiki/𐌽𐌰𐌷𐍄𐍃#Gothic,nahts,nahts,night,n,nahts
𐌽𐌰𐌹𐍄𐌴𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌽𐌰𐌹𐍄𐌴𐌹𐌽𐍃#Gothic,naitēins,nɛteɪns,blasphemy,n,nɛteɪns
𐌽𐌰𐌼𐌽𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌽𐌰𐌼𐌽𐌾𐌰𐌽#Gothic,namnjan,namn̥jan,"name, call, designate",v,namn̥j
𐌽𐌰𐌼𐍉,https://en.wiktionary.org/wiki/𐌽𐌰𐌼𐍉#Gothic,namō,namo,name,n,namo
𐌽𐌰𐌿𐌱𐌰𐌹𐌼𐌱𐌰𐌹𐍂,https://en.wiktionary.org/wiki/𐌽𐌰𐌿𐌱𐌰𐌹𐌼𐌱𐌰𐌹𐍂#Gothic,naubaimbair,nɔβɛmbɛr,The_month_November.,n,nɔβɛmbɛr
