got_lemma,Wortart,Deutsche Bedeutung,Englische Bedeutung,got_links,got_occurences,got_certainty,got_reconstructedness,got_ipa,got_en,got_pos
ƕēlauþs,Adj.,wie groß,"of what proportions, how great, what extent of, how extensive",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=131,['21'],certain,form,hwelauθs,"of_what_proportions, how_great, what_extent_of, how_extensive",a
ƕilban,V.,wölben,"arch (V.), vault (V.), camber (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=131,[],certain,word,hwɪlban,"arch, vault, camber",v
ƕileiks,"Pron., Adj.","wie beschaffen (Adj.), was für ein, welcher","what sort of, what kind of, which, of what type",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=131,['1817'],certain,,hwɪliks,"what_sort_of, what_kind_of, which, of_what_type",ra
ƕilftr,N.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=131,[],certain,word,hwɪlɸtr,,n
ƕilftri,"F., F.",Wölbung,"incurvature, arching, vault (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=131,[],certain,word,hwɪlɸtrɪ,"incurvature, arching, vault",nn
ƕilftrjōns,"F., F.",,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=131,[],certain,form,hwɪlɸtrjons,,nn
ƕilftrjōs,"F., F.","Totenkiste, Sarg","coffin, bier",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=131,['1'],certain,form,hwɪlɸtrjos,"coffin, bier",nn
ƕilftrjōns,"F., F.","Totenkiste, Sarg","coffin, bier",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=131,[],certain,form,hwɪlɸtrjons,"coffin, bier",nn
ƕj,Abkürzung,760,760,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=131,['1'],certain,,hwj,760,r
ƕke,Abkürzung,725,725,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=131,['1'],certain,,hwke,725,r
ƕm,Abkürzung,740,740,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=131,['1'],certain,,hwm,740,r
ƕmg,Abkürzung,743,743,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=131,['1'],certain,,hwmɡ,743,r
ƕō,Pron.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=131,[],certain,,hwo,,r
ƕōftuli,F.,"Ruhm, Rühmen","boast (N.), boasting (N.), glory (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=131,['15'],certain,,hwoɸtulɪ,"boast, boasting, glory",n
ƕōpan,V.,sich rühmen,"boast (V.), pride o.s.",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=131,['3331'],certain,,hwopan,"boast, pride_os",v
ƕōta,F.,Drohung,"sharp reprimand, stern warning, threat (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=131,['2'],certain,form,hwota,"sharp_reprimand, stern_warning, threat",n
ƕōtjan,V.,drohen,"reprimand sharply, warn sternly, give a severe talking-to, threaten",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,['1'],certain,form,hwotjan,"reprimand_sharply, warn_sternly, give_a_severe_talkingto, threaten",v
ƕssōpō,F.,Ysop,"hyssop, small bush with highly aromativ leaves",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,[],certain,,hwssopo,"hyssop, small_bush_with_highly_aromativ_leaves",n
ƕssōpōn,F.,Ysop,"hyssop, small bush with highly aromativ leaves",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,[],certain,,hwssopon,"hyssop, small_bush_with_highly_aromativ_leaves",n
ƕssōpōn,F.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,[],certain,,hwssopon,,n
ƕz,Abkürzung,707,707,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,['1'],certain,,hwz,707,r
i,Buchstabe,"i, Abkürzung für 10","i, abbreviation for 10",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,['2'],certain,,ɪ,"i, abbreviation_for_10",r
ia,Konj.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,['1'],certain,,ɪa,,r
ia,Abkürzung,11,11,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,"['2', '1']",certain,,ɪa,11,r
ib,Abkürzung,12,12,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,['8'],certain,,ɪβ,12,r
iba,Partikel,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,[],certain,,ɪβa,,r
ibai,Partikel,"ob, etwa, wohl, ob denn, doch wohl, doch nicht, dass nicht etwa","possibly, feasibly, how is it possible that, is it so that, is it not so that, l>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,['69'],certain,,ɪβaɪ,"possibly, feasibly, how_is_it_possible_that, is_it_so_that, is_it_not_so_that, l",r
ibdalja,"M., N.","Berglehne, Abhang","declivity, downgrade, slope, descent",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,['1'],certain,form,ɪβdalja,"declivity, downgrade, slope, descent",nn
ibna,Adj.,gleich,"equal, like (Adj.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,['3'],certain,,ɪβna,"equal, like",a
ibnaleiks,Adj.,"gleichen Körpers, gleich","equipollent, equal in essence, of equal substance, equal-bodied, of similar form>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,['1'],certain,form,ɪβnaliks,"equipollent, equal_in_essence, of_equal_substance, equalbodied, of_similar_form",a
ibnaskauns,Adj.,"gleichschön, gleichgesichtig, gleichgestaltet","of equal appearance, of equal sightliness, of equal beauty, equally beautiful, e>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,['1'],certain,form,ɪβnaskauns,"of_equal_appearance, of_equal_sightliness, of_equal_beauty, equally_beautiful, e",a
ibnaskauneis,Adj.,"gleichschön, gleichgesichtig, gleichgestaltet","of equal appearance, of equal sightliness, of equal beauty, equally beautiful, e>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,[],certain,,ɪβnaskaunis,"of_equal_appearance, of_equal_sightliness, of_equal_beauty, equally_beautiful, e",a
ibnassus,M.,"Gleichheit, Billigkeit","equalization, equality, equity, equitableness",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,['3'],certain,,ɪβnassus,"equalization, equality, equity, equitableness",n
ibnatjan,V.,"gleichmachen, ebnen","even out, level out, equalize",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,[],uncertain,word,ɪβnatjan,"even_out, level_out, equalize",v
ibnjan,V.,ebnen,"make even, level (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,[],uncertain,word,ɪβnjan,"make_even, level",v
ibnōn,V.,ebnen,"make even, level (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,[],uncertain,word,ɪβnon,"make_even, level",v
ibns,Adj.,"eben, flach, gleich","even (Adj.), level (Adj.), flat (Adj.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,['1'],certain,form,ɪβns,"even, level, flat",a
ibrs,M.,Eber,boar (N.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,[],uncertain,word,ɪβrs,boar,n
ebrus,M.,Eber,boar (N.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=132,[],certain,word,eβrus,boar,n
ibuks,Adj.,"rückwärts gewandt, zurück","retrorse, reversed, turned back, back (Adj.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,['3'],certain,form,ɪβuks,"retrorse, reversed, turned_back, back",a
ich,Pron.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,[],uncertain,,ɪch,,r
id,V.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,[],certain,word,ɪð,,v
id,Abkürzung,14,14,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,['3'],certain,,ɪð,14,r
iddja,V.,ging,went,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,[],uncertain,,ɪddja,went,v
idreiga,F.,Buße,"repentence, contrition, remorse (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,['1110'],certain,,ɪðriɣa,"repentence, contrition, remorse",n
idreigōn,V.,"bereuen, Buße tun","be contrite, repent (V.), regret (V.), reform one’s ways",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,['1312'],certain,form,ɪðriɣon,"be_contrite, repent, regret, reform_ones_ways",v
idreigs,Adj.,reuig,remorseful,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,[],uncertain,word,ɪðriɣs,remorseful,a
idweit,N.,"Schmach, Schimpf","ignominy, reproach (N.), disgrace (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,['2'],certain,form,ɪðwit,"ignominy, reproach, disgrace",n
idweitan,V.,"rügen, zurechtweisen","regard with rejection, look at repudiatingly",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,[],uncertain,word,ɪðwitan,"regard_with_rejection, look_at_repudiatingly",v
idweitjan,V.,schmähen,"reproach (V.), revile (V.), reprobate, despise",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,['7'],certain,,ɪðwitjan,"reproach, revile, reprobate, despise",v
ie,Abkürzung,15,15,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,['1'],certain,,ɪe,15,r
iel,Sb.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,[],certain,,ɪel,,n
ieltsch,Adj.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,[],certain,,ɪeltsch,,a
ies,Pron.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,[],certain,,ɪes,,r
iftuma,"Adv., Adj.",folgende,"subsequent, next adjacent",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,['4'],certain,form,ɪɸtuma,"subsequent, next_adjacent",ra
ig,Abkürzung,13,13,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,['1'],certain,,ɪɣ,13,r
iggqar,Pron.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,[],certain,form,ɪŋɡkwar,,r
igils,M.,Igel,hedgehog,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,[],certain,word,ɪɣɪls,hedgehog,n
igqar,Pron.,"euch beiden gehörig, euer beider","your, of you both, of the two of you",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,['1'],certain,form,ɪŋkwar,"your, of_you_both, of_the_two_of_you",r
iggqar,Pron.,"euch beiden gehörig, euer beider","your, of you both, of the two of you",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=133,[],certain,form,ɪŋɡkwar,"your, of_you_both, of_the_two_of_you",r
igqara,Pron.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,[],certain,,ɪŋkwara,,r
igqis,Pron.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,[],certain,,ɪŋkwɪs,,r
ih,Abkürzung,18,18,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,['1'],certain,,ɪh,18,r
iiz,N.,"Eis, i-Rune","ice (N.), name of i-rune",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,['1'],certain,,ɪɪz,"ice, name_of_irune",n
ik,Pron.,ich,I,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,['881879'],certain,,ɪk,I,r
ikei,Pron.,"der ich, ich welcher","I who, I that",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,['3'],certain,,ɪki,"I_who, I_that",r
in,"Präp., V.","in, an, auf, unter, zu, während (Konj.), bei, über, nach, gegen, um, für, bis zu>>>","in, into, unto, onto, at, within, when, while (Präp.), during, for, under, in vi>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,['1814'],certain,,ɪn,"in, into, unto, onto, at, within, when, while, during, for, under, in_vi",rv
inagjan,V.,"anfahren, bedrohen, in Angst setzen","put in a state of fear, threaten, inspire fear in, censure (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,['1'],certain,form,ɪnaɣjan,"put_in_a_state_of_fear, threaten, inspire_fear_in, censure",v
inahei,F.,"Besonnenheit, Selbstbeherrschung","judiciousness, circumspection, prudence, sobriety",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,['2'],certain,form,ɪnahi,"judiciousness, circumspection, prudence, sobriety",n
inahs,Adj.,"verständig, besonnen (Adj.), klug","judicious, circumspect (Adj.), prudent, wise (Adj.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,['1'],certain,form,ɪnahs,"judicious, circumspect, prudent, wise",a
inaljanōn,V.,"zornig machen, reizen","jealousy provoke to jealousy, make jealous, provoke, anger (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,['2'],certain,form,ɪnaljanon,"jealousy_provoke_to_jealousy, make_jealous, provoke, anger",v
NAME,"V., M.",,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,[],uncertain,,name,,vn
inbrannjan,V.,"„anbrennen“, in Brand stecken","set afire, ignite, set on fire",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,['1'],certain,form,ɪnbrannjan,"set_afire, ignite, set_on_fire",v
indrōbnan,V.,"in Bestürzung geraten, erschüttert werden","begin to be troubled, start to become disturbed, become disordered",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,['3'],certain,form,ɪndroβnan,"begin_to_be_troubled, start_to_become_disturbed, become_disordered",v
infeinan,V.,"sich erbarmen, gerührt sein (V.)","have compassion, be moved with compassion, have pity",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,['6'],certain,form,ɪnɸinan,"have_compassion, be_moved_with_compassion, have_pity",v
ingaleikōn,V.,"verwandeln, umwandeln","transform the likeness into, change the resemblance into, make the appearance si>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,['1'],certain,form,ɪnɡalikon,"transform_the_likeness_into, change_the_resemblance_into, make_the_appearance_si",v
ingardja,M.,Hausgenosse,"household member, one of the same household",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,"['1', '32']",certain,,ɪnɡardja,"household_member, one_of_the_same_household",n
ingardja,Adj.,im Haus befindlich,"in the house, domiciled within, resident (Adj.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,"['2', '2']",certain,,ɪnɡardja,"in_the_house, domiciled_within, resident",a
ingdolou,Wort,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,['1'],certain,,ɪnɡdolou,,n
ingif,N.,Gift,"poison (N.), toxicant",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=134,['1'],certain,form,ɪnɡɪɸ,"poison, toxicant",n
ingramjan,V.,erbittern,"incite to anger, provoke, put in a state of anger, irritate",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['1'],certain,form,ɪnɡramjan,"incite_to_anger, provoke, put_in_a_state_of_anger, irritate",v
ingrimjis,Adj.,schrecklich,terrible,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,[],uncertain,word,ɪnɡrɪmjɪs,terrible,a
inilō,F.,"Entschuldigung, Vorwand, Gelegenheit","pretext, pretense, alleged reason, excuse (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['4'],certain,form,ɪnɪlo,"pretext, pretense, alleged_reason, excuse",n
inilōn,V.,einwenden,"introduce as an excuse, allege as a reason for",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,[],certain,word,ɪnɪlon,"introduce_as_an_excuse, allege_as_a_reason_for",v
inkilþō,Adj.,"schwanger, Schwangere (= inkilþō subst.)","with child, pregnant",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['3'],certain,,ɪnkɪlθo,"with_child, pregnant",a
inkunja,M.,"Stammesgenosse, Landsmann","compatriot, fellow countryman",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['1'],certain,form,ɪnkunja,"compatriot, fellow_countryman",n
inliuhtjan,V.,erleuchten,"enlighten, illuminate, make known",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['32'],certain,,ɪnlɪuhtjan,"enlighten, illuminate, make_known",v
inmaideins,F.,"Vertauschung, Tausch","exchange (N.), interchange (N.), substitution",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['2'],certain,,ɪnmaɪðins,"exchange, interchange, substitution",n
inmaidjan,V.,"verwandeln, verändern","transmute, transform, transfigure, transubstantiate, exchange (V.), metamorphose",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['8'],certain,,ɪnmaɪðjan,"transmute, transform, transfigure, transubstantiate, exchange, metamorphose",v
inn,"Adv., V.",hinein,"in, into, within",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['9'],certain,,ɪnn,"in, into, within",rv
inna,"Adv., V.","innen, innerhalb","within, inside (Adv.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['4'],certain,,ɪnna,"within, inside",rv
innakunds,Adj.,"zum Haus gehörig, Hausgenosse (subst.)","from within the household, of the same household",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['2'],certain,form,ɪnnakunds,"from_within_the_household, of_the_same_household",a
innana,Adv.,"von innen, hinein, innen, innerhalb, inwendig (= innana gardis)","from inside, within, into the inside of (= innana gardis)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['2'],certain,,ɪnnana,"from_inside, within, into_the_inside_of",r
innatbaíran,V.,"hineinbringen, hineintragen","bear in thither, carry all the way in, bring in",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['2'],certain,form,ɪnnatbɛran,"bear_in_thither, carry_all_the_way_in, bring_in",v
innatgaggan,V.,"„hineingehen“, hineinkommen","enter, get into, go into, come into",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['8'],certain,,ɪnnatɡaŋɡan,"enter, get_into, go_into, come_into",v
innatgāhts,F.,"Eingang, Eintritt","entrance, going into, ingress (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['1'],certain,form,ɪnnatɡahts,"entrance, going_into, ingress",n
innattiuhan,V.,"hineinziehen, hineinführen","bring in to, conduct in thither, usher in, lead in",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['1'],certain,form,ɪnnattɪuhan,"bring_in_to, conduct_in_thither, usher_in, lead_in",v
innaþrō,Adv.,"von innen, inwendig","from the interior, from within, inwardly",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['4'],certain,,ɪnnaθro,"from_the_interior, from_within, inwardly",r
inngaggan,V.,"hineingehen, fortgehen (= inngaggan framis)","go in, enter, progress (V.), proceed on",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['18'],certain,,ɪnnɡaŋɡan,"go_in, enter, progress, proceed_on",v
inngaleiþan,V.,hineingehen,"enter, go in, pass in",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=135,['8'],certain,,ɪnnɡaliθan,"enter, go_in, pass_in",v
inniman,V.,hernehmen,"receive, take in, get, accept (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['1'],certain,form,ɪnnɪman,"receive, take_in, get, accept",v
inniujiþa,F.,"Erneuerung, Fest der Tempelweihe, Kirchweihe","inauguration, initiation, dedication, feast of the „Dedication“",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['1'],certain,,ɪnnɪujɪθa,"inauguration, initiation, dedication, feast_of_the_Dedication",n
innufsliupan,V.,"weiter hinaufschlüpfen, hineinschlüpfen","slip on in, slide past on in, slip on past in, slip in unnoticed",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['1'],certain,form,ɪnnuɸslɪupan,"slip_on_in, slide_past_on_in, slip_on_past_in, slip_in_unnoticed",v
innuma,"Adj., Adj.","der innere, innerlich","interior, inner",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['3'],certain,,ɪnnuma,"interior, inner",aa
innwaírpan,V.,hineinwerfen,"throw in, cast in",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['1'],certain,form,ɪnnwɛrpan,"throw_in, cast_in",v
inraúhtjan,V.,"erzürnt werden, zürnen, unwillig sein (V.)","growl interiously, groan (V.), utter gruff sounds to o.s., be indignant",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['2'],certain,form,ɪnrɔhtjan,"growl_interiously, groan, utter_gruff_sounds_to_os, be_indignant",v
inreiran,V.,"erzittern, erbeben","come to shake, begin quaking, tremble (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['1'],certain,form,ɪnriran,"come_to_shake, begin_quaking, tremble",v
ins,Sb.,Schwert,sword,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,[],uncertain,word,ɪns,sword,n
insahts,F.,"Erzählung, Aussage, Zeugnis","argumentation, account (N.), exposition, explication, report (N.), story, statem>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['6'],certain,,ɪnsahts,"argumentation, account, exposition, explication, report, story, statem",n
insáian,V.,"einsäen, hineinsäen","sow in, seed in",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['1'],certain,form,ɪnsaɪan,"sow_in, seed_in",v
insaíƕan,V.,"hinsehen, ansehen, auf etwas sehen, nach etwas sehen, aufblicken, sich umsehen","look at, look upon, look thither",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['12'],certain,,ɪnsɛhwan,"look_at, look_upon, look_thither",v
insailjan,V.,"anseilen, herablassen","affix ropes to, tie ropes onto, let down",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['1'],certain,form,ɪnsaɪljan,"affix_ropes_to, tie_ropes_onto, let_down",v
insakan,V.,"vorstellen, anraten, eintreten für, bezeichnen, vortragen, anzeigen","propound an argument, present the case, expound, declare, explain, give an accou>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['6'],certain,form,ɪnsakan,"propound_an_argument, present_the_case, expound, declare, explain, give_an_accou",v
insandjan,V.,"entsenden, hinsenden, zusenden, senden","send thither, dispatch (V.), send on a mission, send away, dismiss",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['88'],certain,,ɪnsandjan,"send_thither, dispatch, send_on_a_mission, send_away, dismiss",v
instandan,V.,"bevorstehen, eintreten für","be impending, be imminent, be insistent, urge (V.), stand ahead",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['2'],certain,form,ɪnstandan,"be_impending, be_imminent, be_insistent, urge, stand_ahead",v
inswinþjan,V.,stärken,"strengthen, make strong, impart strength to",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['76'],certain,,ɪnswɪnθjan,"strengthen, make_strong, impart_strength_to",v
intandjan,V.,"„anzünden“, verbrennen, in Brand setzen","incinerate, burn up, consume by fire",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['1'],certain,form,ɪntandjan,"incinerate, burn_up, consume_by_fire",v
intrusgjan,V.,einpfropfen,"graft in, ingraft",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['6'],certain,,ɪntrusɡjan,"graft_in, ingraft",v
intundnan,V.,verbrennen,"be consumed with flame, become consumed with flame, be burnt up, become burnt up>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,['1'],certain,,ɪntundnan,"be_consumed_with_flame, become_consumed_with_flame, be_burnt_up, become_burnt_up",v
inu,Präp.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=136,[],certain,,ɪnu,,r
inuh,Präp.,"ohne, außer","without, except, apart from, outside (Präp.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,['51'],certain,,ɪnuh,"without, except, apart_from, outside",r
inu,Präp.,"ohne, außer","without, except, apart from, outside (Präp.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,[],certain,,ɪnu,"without, except, apart_from, outside",r
inwagjan,V.,"erregen, aufwiegeln","agitate, unsettle, churn up, move (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,['2'],certain,form,ɪnwaɣjan,"agitate, unsettle, churn_up, move",v
inwandjan,V.,"„hineinwenden“, verdrehen, verkehren","twist into something else, pervert, subvert, distort",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,['1'],certain,,ɪnwandjan,"twist_into_something_else, pervert, subvert, distort",v
inweitan,V.,"Verehrung erweisen, begrüßen, anbeten, ansehen, verehren","pay homage to, pay respect to, salute (V.), worship (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,['10'],certain,form,ɪnwitan,"pay_homage_to, pay_respect_to, salute, worship",v
inweitjan,V.,"anbeten, behexen","adore, worship (V.), bewitch",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,[],uncertain,word,ɪnwitjan,"adore, worship, bewitch",v
inwidan,V.,"verleugnen, für ungültig erklären","reject the connection with, deny the relatedness of, repudiate, disown, desert (>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,['8'],certain,form,ɪnwɪðan,"reject_the_connection_with, deny_the_relatedness_of, repudiate, disown, desert",v
inwindiþa,F.,Ungerechtigkeit,"perverseness, wickedness, corruption, unrighteousness",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,['6'],certain,,ɪnwɪndɪθa,"perverseness, wickedness, corruption, unrighteousness",n
inwinds,Adj.,"„gewunden“, ungerecht, verkehrt, verdorben","perverse (Adj.), wicked, corrupt (Adj.), unjust",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,['5'],certain,form,ɪnwɪnds,"perverse, wicked, corrupt, unjust",a
inwisan,V.,"bevorstehen (?), da sein (V.) (?)","have been discontinued, be elapsed, be no longer",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,['1'],uncertain,form,ɪnwɪsan,"have_been_discontinued, be_elapsed, be_no_longer",v
inwitōþs,Adj.,"innerhalb des Gesetzes stehend, gesetzlich","within the law, lawful, law-abiding",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,['1'],certain,,ɪnwɪtoθs,"within_the_law, lawful, lawabiding",a
iowi,M.,ein Gott?,a god?,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,[],certain,,ɪowɪ,a_god,n
iq,Abkürzung,16,16,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,['1'],certain,,ɪkw,16,r
is,Pron.,er,he,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,['2178'],certain,,ɪs,he,r
isks,V.,#NAME?,#NAME?,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,[],uncertain,word,ɪsks,NAME,v
isks,V.,#NAME?,#NAME?,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,[],uncertain,word,ɪsks,NAME,v
Israēl,"M., LN",Israel,Israel,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,['37'],certain,,ɪsrael,Israel,nvar
Israēleitēs,M.,Israelit,Israelite,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,['3'],certain,,ɪsraelites,Israelite,n
ita,Pron.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=137,['1'],certain,,ɪta,,r
